Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition
Toyota,Passo,2021,54000,4190000,Petrol,Unregistered,Original,Imported,Automatic,Used
Suzuki,Ravi,2018,95000,1300000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Bolan,2015,50000,800000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Move,2013,94000,2155000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Swift,2011,126544,1440000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2020,54000,2830000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Mira,2013,140000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Bolan,2016,32000,1050000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IDSI,2004,160000,1230000,Petrol,Sindh,Original,Local,Manual,Used
Suzuki,Cultus VXR,2008,75000,950000,Petrol,Faisalabad,Original,Local,Manual,Used
Suzuki,Every,2018,101628,1850000,Petrol,Islamabad,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2007,346000,1895000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Baleno,2004,140000,930000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,City Vario,2006,80000,1670000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Move,2021,6500,3499000,Petrol,Unregistered,Original,Imported,Automatic,Used
Daihatsu,Terios Kid,2004,123123,1425000,Petrol,Sialkot,Original,Imported,Automatic,Used
Daihatsu,Move,2013,73000,2150000,Petrol,Lahore,Original,Imported,Automatic,Used
Honda,Civic Prosmetic,2007,160000,1670000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Cultus VXR,2006,80000,900000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Mira,2011,115000,660000,Petrol,Unregistered,Duplicate,Imported,Automatic,Used
Honda,City IVTEC,2023,112076,3400000,Petrol,Islamabad,Original,Local,Manual,Used
Toyota,Corolla XLI,2008,100000,1920000,CNG,Lahore,Original,Imported,Manual,Used
Suzuki,Wagon R,2014,125000,1600000,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2007,84298,890000,Petrol,Gujranwala,Original,Local,Manual,Used
Toyota,Corrolla Altis,2019,49000,4475000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Cultus VXR,2009,52000,1050000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Aspire,2021,75000,4199000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2009,96000,620000,Petrol,Faisalabad,Original,Local,Manual,Used
Daihatsu,Cuore,2006,100000,1000000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2009,105700,1825000,Petrol,Karachi,Original,Local,Automatic,Used
Mitsubishi,Pajero Mini,2007,100000,1025000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Swift,2017,90000,2100000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Passo,2015,55600,3090000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,City IVTEC,2013,130000,2650000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City IVTEC,2013,85000,3100000,Petrol,Islamabad,Original,Local,Manual,Used
KIA,Picanto,2021,14600,3000000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Cuore,2007,100000,830000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Bolan,2015,50000,950000,Petrol,Punjab,Original,Local,Manual,Used
Honda,City Aspire,2021,64000,4500000,Petrol,Punjab,Original,Local,Automatic,Used
Suzuki,Alto,2012,58600,1165000,Petrol,Karachi,Original,Local,Manual,Used
Changan,Karvaan,2021,27000,2250000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Swift,2016,92900,2225000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Ravi,2015,65000,700000,Petrol,Lahore,Original,Local,Manual,Used
